group,id,course,semester,grade
1,39,Energy Harvesting and Sustainability,2,10.5
1,39,Energy Harvesting and Sustainability,2,10.5
1,39,Energy Harvesting and Sustainability,2,6
1,39,Energy Harvesting and Sustainability,2,12.5
1,39,Energy Harvesting and Sustainability,2,14
1,39,Energy Harvesting and Sustainability,2,13.5
1,39,Energy Harvesting and Sustainability,2,14
1,39,Interstellar Travel and Navigation,2,9.7
1,39,Interstellar Travel and Navigation,2,11
1,39,Interstellar Travel and Navigation,2,8.1
1,39,Interstellar Travel and Navigation,2,6.6
1,39,Interstellar Travel and Navigation,2,9.2
1,39,Interstellar Travel and Navigation,2,14.5
1,39,Neurotechnology and Mind Control,2,10.5
1,39,Neurotechnology and Mind Control,2,7.5
1,39,Neurotechnology and Mind Control,2,5.5
1,39,Neurotechnology and Mind Control,2,5.5
1,39,Quantum Physics and Time Manipulation,1,7.5
1,39,Quantum Physics and Time Manipulation,1,3
1,39,Quantum Physics and Time Manipulation,1,6
1,39,Quantum Physics and Time Manipulation,1,5
1,39,Quantum Physics and Time Manipulation,1,1.5
1,39,Quantum Physics and Time Manipulation,1,12
1,39,Space Law and Ethics,2,11.5
1,39,Space Law and Ethics,2,4.1
1,39,Space Law and Ethics,2,7.5
1,39,Virtual Reality and Simulated Environments,1,4.5
1,39,Virtual Reality and Simulated Environments,1,11
1,39,Virtual Reality and Simulated Environments,1,1
1,39,Virtual Reality and Simulated Environments,1,7
1,39,Virtual Reality and Simulated Environments,1,11
1,39,Virtual Reality and Simulated Environments,1,10.5
1,39,Virtual Reality and Simulated Environments,1,6
1,39,Xenobiology and Extraterrestrial Life,1,16.25
1,39,Xenobiology and Extraterrestrial Life,1,9
1,39,Xenobiology and Extraterrestrial Life,1,16
1,39,Xenobiology and Extraterrestrial Life,1,17.25
1,39,Xenobiology and Extraterrestrial Life,1,10.75
1,43,Artificial Intelligence and Robotics,1,8.5
1,43,Artificial Intelligence and Robotics,1,8
1,43,Artificial Intelligence and Robotics,1,6
1,43,Artificial Intelligence and Robotics,1,6.5
1,43,Artificial Intelligence and Robotics,1,8
1,43,Artificial Intelligence and Robotics,1,10
1,43,Astroengineering and Planetary Colonization,1,7
1,43,Astroengineering and Planetary Colonization,1,11.5
1,43,Astroengineering and Planetary Colonization,1,17
1,43,Cybernetics and Human Augmentation,2,13.25
1,43,Cybernetics and Human Augmentation,2,14.75
1,43,Cybernetics and Human Augmentation,2,11
1,43,Cybernetics and Human Augmentation,2,13.25
1,43,Cybernetics and Human Augmentation,2,11.5
1,43,Cybernetics and Human Augmentation,2,11.75
1,43,Energy Harvesting and Sustainability,2,17
1,43,Energy Harvesting and Sustainability,2,11.5
1,43,Energy Harvesting and Sustainability,2,10.5
1,43,Energy Harvesting and Sustainability,2,8.5
1,43,Energy Harvesting and Sustainability,2,15.5
1,43,Energy Harvesting and Sustainability,2,9
1,43,Energy Harvesting and Sustainability,2,12.5
1,43,Energy Harvesting and Sustainability,2,12
1,43,Energy Harvesting and Sustainability,2,13.5
1,43,Energy Harvesting and Sustainability,2,12.5
1,43,Interstellar Travel and Navigation,2,8.9
1,43,Interstellar Travel and Navigation,2,13.3
1,43,Interstellar Travel and Navigation,2,8.7
1,43,Interstellar Travel and Navigation,2,10.1
1,43,Interstellar Travel and Navigation,2,9.7
1,43,Interstellar Travel and Navigation,2,8.3
1,43,Interstellar Travel and Navigation,2,8.8
1,43,Neurotechnology and Mind Control,2,5.5
1,43,Neurotechnology and Mind Control,2,9.5
1,43,Neurotechnology and Mind Control,2,7.5
1,43,Neurotechnology and Mind Control,2,8.5
1,43,Quantum Physics and Time Manipulation,1,5
1,43,Quantum Physics and Time Manipulation,1,2
1,43,Quantum Physics and Time Manipulation,1,11
1,43,Quantum Physics and Time Manipulation,1,9
1,43,Quantum Physics and Time Manipulation,1,7.5
1,43,Quantum Physics and Time Manipulation,1,11.5
1,43,Space Law and Ethics,2,10.5
1,43,Space Law and Ethics,2,12.3
1,43,Space Law and Ethics,2,12
1,43,Virtual Reality and Simulated Environments,1,13.5
1,43,Virtual Reality and Simulated Environments,1,9.5
1,43,Virtual Reality and Simulated Environments,1,10
1,43,Virtual Reality and Simulated Environments,1,5
1,43,Virtual Reality and Simulated Environments,1,9
1,43,Virtual Reality and Simulated Environments,1,12
1,43,Xenobiology and Extraterrestrial Life,1,16.75
1,43,Xenobiology and Extraterrestrial Life,1,12.25
1,43,Xenobiology and Extraterrestrial Life,1,11
1,43,Xenobiology and Extraterrestrial Life,1,10
1,43,Xenobiology and Extraterrestrial Life,1,16
1,46,Artificial Intelligence and Robotics,1,10
1,46,Artificial Intelligence and Robotics,1,7.5
1,46,Artificial Intelligence and Robotics,1,12.5
1,46,Artificial Intelligence and Robotics,1,14
1,46,Artificial Intelligence and Robotics,1,7.5
1,46,Artificial Intelligence and Robotics,1,13
1,46,Astroengineering and Planetary Colonization,1,14
1,46,Astroengineering and Planetary Colonization,1,16
1,46,Astroengineering and Planetary Colonization,1,5.5
1,46,Cybernetics and Human Augmentation,2,11.75
1,46,Cybernetics and Human Augmentation,2,11.75
1,46,Cybernetics and Human Augmentation,2,12.5
1,46,Cybernetics and Human Augmentation,2,10.25
1,46,Cybernetics and Human Augmentation,2,12.75
1,46,Cybernetics and Human Augmentation,2,14.25
1,46,Energy Harvesting and Sustainability,2,11.5
1,46,Energy Harvesting and Sustainability,2,14.5
1,46,Energy Harvesting and Sustainability,2,16
1,46,Energy Harvesting and Sustainability,2,11
1,46,Energy Harvesting and Sustainability,2,11
1,46,Energy Harvesting and Sustainability,2,13
1,46,Energy Harvesting and Sustainability,2,2.5
1,46,Energy Harvesting and Sustainability,2,10.5
1,46,Energy Harvesting and Sustainability,2,7
1,46,Energy Harvesting and Sustainability,2,10
1,46,Interstellar Travel and Navigation,2,8.3
1,46,Interstellar Travel and Navigation,2,8.2
1,46,Interstellar Travel and Navigation,2,10.8
1,46,Interstellar Travel and Navigation,2,4.9
1,46,Interstellar Travel and Navigation,2,9.6
1,46,Neurotechnology and Mind Control,2,8.5
1,46,Neurotechnology and Mind Control,2,9
1,46,Neurotechnology and Mind Control,2,8
1,46,Neurotechnology and Mind Control,2,9.5
1,46,Quantum Physics and Time Manipulation,1,6
1,46,Quantum Physics and Time Manipulation,1,5.5
1,46,Quantum Physics and Time Manipulation,1,14.5
1,46,Quantum Physics and Time Manipulation,1,5
1,46,Quantum Physics and Time Manipulation,1,8.5
1,46,Quantum Physics and Time Manipulation,1,13
1,46,Space Law and Ethics,2,8.3
1,46,Space Law and Ethics,2,3.9
1,46,Space Law and Ethics,2,13.9
1,46,Virtual Reality and Simulated Environments,1,9.5
1,46,Virtual Reality and Simulated Environments,1,11.5
1,46,Virtual Reality and Simulated Environments,1,7
1,46,Virtual Reality and Simulated Environments,1,9.5
1,46,Virtual Reality and Simulated Environments,1,11
1,46,Virtual Reality and Simulated Environments,1,10
1,46,Virtual Reality and Simulated Environments,1,14
1,46,Xenobiology and Extraterrestrial Life,1,12.25
1,46,Xenobiology and Extraterrestrial Life,1,9.75
1,46,Xenobiology and Extraterrestrial Life,1,12.75
1,46,Xenobiology and Extraterrestrial Life,1,9.5
1,46,Xenobiology and Extraterrestrial Life,1,14.75
1,48,Artificial Intelligence and Robotics,1,8
1,48,Artificial Intelligence and Robotics,1,12.5
1,48,Artificial Intelligence and Robotics,1,11.5
1,48,Artificial Intelligence and Robotics,1,7.5
1,48,Artificial Intelligence and Robotics,1,15
1,48,Artificial Intelligence and Robotics,1,12.5
1,48,Astroengineering and Planetary Colonization,1,12
1,48,Astroengineering and Planetary Colonization,1,17
1,48,Astroengineering and Planetary Colonization,1,12
1,48,Cybernetics and Human Augmentation,2,12.5
1,48,Cybernetics and Human Augmentation,2,13.5
1,48,Cybernetics and Human Augmentation,2,12.25
1,48,Cybernetics and Human Augmentation,2,12.25
1,48,Cybernetics and Human Augmentation,2,12.5
1,48,Cybernetics and Human Augmentation,2,12.25
1,48,Energy Harvesting and Sustainability,2,9.5
1,48,Energy Harvesting and Sustainability,2,5.5
1,48,Energy Harvesting and Sustainability,2,14
1,48,Energy Harvesting and Sustainability,2,12
1,48,Energy Harvesting and Sustainability,2,11
1,48,Energy Harvesting and Sustainability,2,6.5
1,48,Energy Harvesting and Sustainability,2,8.5
1,48,Energy Harvesting and Sustainability,2,7
1,48,Energy Harvesting and Sustainability,2,16.5
1,48,Energy Harvesting and Sustainability,2,10
1,48,Interstellar Travel and Navigation,2,9.2
1,48,Interstellar Travel and Navigation,2,9.5
1,48,Interstellar Travel and Navigation,2,9.8
1,48,Interstellar Travel and Navigation,2,10.9
1,48,Interstellar Travel and Navigation,2,6
1,48,Interstellar Travel and Navigation,2,6
1,48,Interstellar Travel and Navigation,2,8.1
1,48,Neurotechnology and Mind Control,2,9
1,48,Neurotechnology and Mind Control,2,5.5
1,48,Neurotechnology and Mind Control,2,11
1,48,Neurotechnology and Mind Control,2,7
1,48,Quantum Physics and Time Manipulation,1,7
1,48,Quantum Physics and Time Manipulation,1,10
1,48,Quantum Physics and Time Manipulation,1,9.5
1,48,Quantum Physics and Time Manipulation,1,6
1,48,Quantum Physics and Time Manipulation,1,2
1,48,Quantum Physics and Time Manipulation,1,5.5
1,48,Space Law and Ethics,2,7.5
1,48,Space Law and Ethics,2,11.3
1,48,Space Law and Ethics,2,7.7
1,48,Virtual Reality and Simulated Environments,1,8
1,48,Virtual Reality and Simulated Environments,1,7.5
1,48,Virtual Reality and Simulated Environments,1,10
1,48,Virtual Reality and Simulated Environments,1,10.5
1,48,Virtual Reality and Simulated Environments,1,12
1,48,Virtual Reality and Simulated Environments,1,8
1,48,Virtual Reality and Simulated Environments,1,11
1,48,Xenobiology and Extraterrestrial Life,1,11.75
1,48,Xenobiology and Extraterrestrial Life,1,11.5
1,48,Xenobiology and Extraterrestrial Life,1,16
1,48,Xenobiology and Extraterrestrial Life,1,11.75
1,48,Xenobiology and Extraterrestrial Life,1,14.25
1,91,Artificial Intelligence and Robotics,1,15.5
1,91,Artificial Intelligence and Robotics,1,11.5
1,91,Artificial Intelligence and Robotics,1,6
1,91,Artificial Intelligence and Robotics,1,7
1,91,Artificial Intelligence and Robotics,1,19
1,91,Artificial Intelligence and Robotics,1,9
1,91,Astroengineering and Planetary Colonization,1,14.5
1,91,Astroengineering and Planetary Colonization,1,13
1,91,Astroengineering and Planetary Colonization,1,6
1,91,Cybernetics and Human Augmentation,2,12.75
1,91,Cybernetics and Human Augmentation,2,10.25
1,91,Cybernetics and Human Augmentation,2,13.5
1,91,Cybernetics and Human Augmentation,2,10.25
1,91,Cybernetics and Human Augmentation,2,11.5
1,91,Cybernetics and Human Augmentation,2,10
1,91,Energy Harvesting and Sustainability,2,8
1,91,Energy Harvesting and Sustainability,2,4.5
1,91,Energy Harvesting and Sustainability,2,11.5
1,91,Energy Harvesting and Sustainability,2,5.5
1,91,Energy Harvesting and Sustainability,2,11.5
1,91,Energy Harvesting and Sustainability,2,9.5
1,91,Energy Harvesting and Sustainability,2,8
1,91,Energy Harvesting and Sustainability,2,11
1,91,Energy Harvesting and Sustainability,2,8.5
1,91,Energy Harvesting and Sustainability,2,13
1,91,Interstellar Travel and Navigation,2,7.4
1,91,Interstellar Travel and Navigation,2,8.9
1,91,Interstellar Travel and Navigation,2,13.4
1,91,Interstellar Travel and Navigation,2,7.7
1,91,Interstellar Travel and Navigation,2,7.4
1,91,Interstellar Travel and Navigation,2,11.8
1,91,Interstellar Travel and Navigation,2,9.9
1,91,Neurotechnology and Mind Control,2,10.5
1,91,Neurotechnology and Mind Control,2,6
1,91,Neurotechnology and Mind Control,2,9.5
1,91,Neurotechnology and Mind Control,2,8.5
1,91,Quantum Physics and Time Manipulation,1,9.5
1,91,Quantum Physics and Time Manipulation,1,6.5
1,91,Quantum Physics and Time Manipulation,1,8.5
1,91,Quantum Physics and Time Manipulation,1,4.5
1,91,Quantum Physics and Time Manipulation,1,10.5
1,91,Quantum Physics and Time Manipulation,1,10.5
1,91,Space Law and Ethics,2,6.7
1,91,Space Law and Ethics,2,6.4
1,91,Space Law and Ethics,2,9.1
1,91,Virtual Reality and Simulated Environments,1,8
1,91,Virtual Reality and Simulated Environments,1,6.5
1,91,Virtual Reality and Simulated Environments,1,2.5
1,91,Virtual Reality and Simulated Environments,1,4
1,91,Virtual Reality and Simulated Environments,1,8.5
1,91,Virtual Reality and Simulated Environments,1,15
1,91,Xenobiology and Extraterrestrial Life,1,10.25
1,91,Xenobiology and Extraterrestrial Life,1,14.25
1,91,Xenobiology and Extraterrestrial Life,1,8.75
1,91,Xenobiology and Extraterrestrial Life,1,12.25
1,91,Xenobiology and Extraterrestrial Life,1,14.5
1,93,Artificial Intelligence and Robotics,1,11.5
1,93,Artificial Intelligence and Robotics,1,10
1,93,Artificial Intelligence and Robotics,1,15
1,93,Artificial Intelligence and Robotics,1,10.5
1,93,Artificial Intelligence and Robotics,1,12
1,93,Artificial Intelligence and Robotics,1,6
1,93,Astroengineering and Planetary Colonization,1,13.5
1,93,Astroengineering and Planetary Colonization,1,9.5
1,93,Cybernetics and Human Augmentation,2,12.25
1,93,Cybernetics and Human Augmentation,2,13.25
1,93,Cybernetics and Human Augmentation,2,13.75
1,93,Cybernetics and Human Augmentation,2,10.25
1,93,Cybernetics and Human Augmentation,2,12.5
1,93,Cybernetics and Human Augmentation,2,11
1,93,Energy Harvesting and Sustainability,2,11.5
1,93,Energy Harvesting and Sustainability,2,14.5
1,93,Energy Harvesting and Sustainability,2,8.5
1,93,Energy Harvesting and Sustainability,2,17.5
1,93,Energy Harvesting and Sustainability,2,11.5
1,93,Energy Harvesting and Sustainability,2,13.5
1,93,Energy Harvesting and Sustainability,2,7
1,93,Energy Harvesting and Sustainability,2,10.5
1,93,Energy Harvesting and Sustainability,2,8.5
1,93,Energy Harvesting and Sustainability,2,14.5
1,93,Interstellar Travel and Navigation,2,9.1
1,93,Interstellar Travel and Navigation,2,12.4
1,93,Interstellar Travel and Navigation,2,10.1
1,93,Interstellar Travel and Navigation,2,6.5
1,93,Interstellar Travel and Navigation,2,11.4
1,93,Interstellar Travel and Navigation,2,10.2
1,93,Interstellar Travel and Navigation,2,8
1,93,Neurotechnology and Mind Control,2,11
1,93,Neurotechnology and Mind Control,2,9.5
1,93,Neurotechnology and Mind Control,2,8.5
1,93,Neurotechnology and Mind Control,2,8.5
1,93,Quantum Physics and Time Manipulation,1,7.5
1,93,Quantum Physics and Time Manipulation,1,6
1,93,Quantum Physics and Time Manipulation,1,9
1,93,Quantum Physics and Time Manipulation,1,11
1,93,Quantum Physics and Time Manipulation,1,3.5
1,93,Quantum Physics and Time Manipulation,1,8
1,93,Space Law and Ethics,2,6.9
1,93,Space Law and Ethics,2,8.8
1,93,Space Law and Ethics,2,9.5
1,93,Virtual Reality and Simulated Environments,1,8.5
1,93,Virtual Reality and Simulated Environments,1,6
1,93,Virtual Reality and Simulated Environments,1,6.5
1,93,Virtual Reality and Simulated Environments,1,8
1,93,Virtual Reality and Simulated Environments,1,8
1,93,Virtual Reality and Simulated Environments,1,6.5
1,93,Virtual Reality and Simulated Environments,1,12
1,93,Xenobiology and Extraterrestrial Life,1,6.5
1,93,Xenobiology and Extraterrestrial Life,1,13.25
1,93,Xenobiology and Extraterrestrial Life,1,10.75
1,93,Xenobiology and Extraterrestrial Life,1,9.5
1,93,Xenobiology and Extraterrestrial Life,1,16
1,100,Artificial Intelligence and Robotics,1,14
1,100,Artificial Intelligence and Robotics,1,12.5
1,100,Artificial Intelligence and Robotics,1,10
1,100,Artificial Intelligence and Robotics,1,11.5
1,100,Artificial Intelligence and Robotics,1,7.5
1,100,Artificial Intelligence and Robotics,1,9.5
1,100,Astroengineering and Planetary Colonization,1,14
1,100,Astroengineering and Planetary Colonization,1,11
1,100,Cybernetics and Human Augmentation,2,13.5
1,100,Cybernetics and Human Augmentation,2,12.5
1,100,Cybernetics and Human Augmentation,2,10.25
1,100,Cybernetics and Human Augmentation,2,12.75
1,100,Cybernetics and Human Augmentation,2,11
1,100,Energy Harvesting and Sustainability,2,9.5
1,100,Energy Harvesting and Sustainability,2,9.5
1,100,Energy Harvesting and Sustainability,2,12
1,100,Energy Harvesting and Sustainability,2,9
1,100,Energy Harvesting and Sustainability,2,12
1,100,Energy Harvesting and Sustainability,2,9
1,100,Energy Harvesting and Sustainability,2,10.5
1,100,Energy Harvesting and Sustainability,2,17.5
1,100,Energy Harvesting and Sustainability,2,17.5
1,100,Interstellar Travel and Navigation,2,9.9
1,100,Interstellar Travel and Navigation,2,10.7
1,100,Interstellar Travel and Navigation,2,11.8
1,100,Interstellar Travel and Navigation,2,8.9
1,100,Interstellar Travel and Navigation,2,12.1
1,100,Interstellar Travel and Navigation,2,10.7
1,100,Interstellar Travel and Navigation,2,10.9
1,100,Neurotechnology and Mind Control,2,8.5
1,100,Neurotechnology and Mind Control,2,8.5
1,100,Neurotechnology and Mind Control,2,9.5
1,100,Quantum Physics and Time Manipulation,1,11
1,100,Quantum Physics and Time Manipulation,1,7.5
1,100,Quantum Physics and Time Manipulation,1,8
1,100,Quantum Physics and Time Manipulation,1,5
1,100,Quantum Physics and Time Manipulation,1,7.5
1,100,Quantum Physics and Time Manipulation,1,10
1,100,Space Law and Ethics,2,10
1,100,Space Law and Ethics,2,6.5
1,100,Space Law and Ethics,2,13
1,100,Virtual Reality and Simulated Environments,1,3.5
1,100,Virtual Reality and Simulated Environments,1,5.5
1,100,Virtual Reality and Simulated Environments,1,7
1,100,Virtual Reality and Simulated Environments,1,12.5
1,100,Virtual Reality and Simulated Environments,1,7.5
1,100,Virtual Reality and Simulated Environments,1,9
1,100,Virtual Reality and Simulated Environments,1,7
1,100,Xenobiology and Extraterrestrial Life,1,12.25
1,100,Xenobiology and Extraterrestrial Life,1,9
1,100,Xenobiology and Extraterrestrial Life,1,14
1,100,Xenobiology and Extraterrestrial Life,1,16.25
1,100,Xenobiology and Extraterrestrial Life,1,12.5
1,101,Artificial Intelligence and Robotics,1,10
1,101,Artificial Intelligence and Robotics,1,18
1,101,Artificial Intelligence and Robotics,1,11.5
1,101,Artificial Intelligence and Robotics,1,11.5
1,101,Artificial Intelligence and Robotics,1,12
1,101,Artificial Intelligence and Robotics,1,10.5
1,101,Astroengineering and Planetary Colonization,1,12
1,101,Astroengineering and Planetary Colonization,1,15.5
1,101,Astroengineering and Planetary Colonization,1,17.5
1,101,Cybernetics and Human Augmentation,2,13
1,101,Cybernetics and Human Augmentation,2,14.5
1,101,Cybernetics and Human Augmentation,2,14
1,101,Cybernetics and Human Augmentation,2,14.5
1,101,Cybernetics and Human Augmentation,2,14.5
1,101,Cybernetics and Human Augmentation,2,11.25
1,101,Energy Harvesting and Sustainability,2,11.5
1,101,Energy Harvesting and Sustainability,2,16
1,101,Energy Harvesting and Sustainability,2,12
1,101,Energy Harvesting and Sustainability,2,15
1,101,Energy Harvesting and Sustainability,2,13
1,101,Energy Harvesting and Sustainability,2,11.5
1,101,Energy Harvesting and Sustainability,2,10
1,101,Energy Harvesting and Sustainability,2,9
1,101,Energy Harvesting and Sustainability,2,9
1,101,Energy Harvesting and Sustainability,2,11.5
1,101,Interstellar Travel and Navigation,2,11.1
1,101,Interstellar Travel and Navigation,2,10.6
1,101,Interstellar Travel and Navigation,2,9.6
1,101,Interstellar Travel and Navigation,2,10.7
1,101,Interstellar Travel and Navigation,2,2.7
1,101,Interstellar Travel and Navigation,2,8.4
1,101,Interstellar Travel and Navigation,2,6.1
1,101,Neurotechnology and Mind Control,2,8
1,101,Neurotechnology and Mind Control,2,10.5
1,101,Neurotechnology and Mind Control,2,9
1,101,Neurotechnology and Mind Control,2,9
1,101,Quantum Physics and Time Manipulation,1,3.5
1,101,Quantum Physics and Time Manipulation,1,9.5
1,101,Quantum Physics and Time Manipulation,1,6.5
1,101,Quantum Physics and Time Manipulation,1,5.5
1,101,Quantum Physics and Time Manipulation,1,8.5
1,101,Quantum Physics and Time Manipulation,1,6
1,101,Space Law and Ethics,2,13.8
1,101,Space Law and Ethics,2,8
1,101,Space Law and Ethics,2,8
1,101,Virtual Reality and Simulated Environments,1,10.5
1,101,Virtual Reality and Simulated Environments,1,10
1,101,Virtual Reality and Simulated Environments,1,5.5
1,101,Virtual Reality and Simulated Environments,1,5
1,101,Virtual Reality and Simulated Environments,1,8
1,101,Virtual Reality and Simulated Environments,1,13
1,101,Virtual Reality and Simulated Environments,1,18.5
1,101,Xenobiology and Extraterrestrial Life,1,17.75
1,101,Xenobiology and Extraterrestrial Life,1,7.5
1,101,Xenobiology and Extraterrestrial Life,1,11.5
1,101,Xenobiology and Extraterrestrial Life,1,6.5
1,101,Xenobiology and Extraterrestrial Life,1,11
1,106,Artificial Intelligence and Robotics,1,9.5
1,106,Artificial Intelligence and Robotics,1,15
1,106,Artificial Intelligence and Robotics,1,13
1,106,Artificial Intelligence and Robotics,1,6.5
1,106,Artificial Intelligence and Robotics,1,9.5
1,106,Astroengineering and Planetary Colonization,1,12.5
1,106,Astroengineering and Planetary Colonization,1,11.5
1,106,Astroengineering and Planetary Colonization,1,14.5
1,106,Cybernetics and Human Augmentation,2,11
1,106,Cybernetics and Human Augmentation,2,13.5
1,106,Cybernetics and Human Augmentation,2,13.75
1,106,Cybernetics and Human Augmentation,2,12.75
1,106,Cybernetics and Human Augmentation,2,13.5
1,106,Cybernetics and Human Augmentation,2,13.75
1,106,Energy Harvesting and Sustainability,2,15
1,106,Energy Harvesting and Sustainability,2,12
1,106,Energy Harvesting and Sustainability,2,4
1,106,Energy Harvesting and Sustainability,2,16
1,106,Energy Harvesting and Sustainability,2,10.5
1,106,Energy Harvesting and Sustainability,2,14
1,106,Energy Harvesting and Sustainability,2,11.5
1,106,Energy Harvesting and Sustainability,2,13
1,106,Energy Harvesting and Sustainability,2,13.5
1,106,Energy Harvesting and Sustainability,2,12
1,106,Interstellar Travel and Navigation,2,8.9
1,106,Interstellar Travel and Navigation,2,11.3
1,106,Interstellar Travel and Navigation,2,10.1
1,106,Interstellar Travel and Navigation,2,11.6
1,106,Interstellar Travel and Navigation,2,8.7
1,106,Interstellar Travel and Navigation,2,11.1
1,106,Interstellar Travel and Navigation,2,10.4
1,106,Neurotechnology and Mind Control,2,11
1,106,Neurotechnology and Mind Control,2,11
1,106,Neurotechnology and Mind Control,2,8
1,106,Neurotechnology and Mind Control,2,12
1,106,Quantum Physics and Time Manipulation,1,5
1,106,Quantum Physics and Time Manipulation,1,8
1,106,Quantum Physics and Time Manipulation,1,12.5
1,106,Quantum Physics and Time Manipulation,1,8.5
1,106,Quantum Physics and Time Manipulation,1,7
1,106,Quantum Physics and Time Manipulation,1,10.5
1,106,Space Law and Ethics,2,7.8
1,106,Space Law and Ethics,2,10.6
1,106,Space Law and Ethics,2,15.1
1,106,Virtual Reality and Simulated Environments,1,6
1,106,Virtual Reality and Simulated Environments,1,6.5
1,106,Virtual Reality and Simulated Environments,1,8
1,106,Virtual Reality and Simulated Environments,1,8.5
1,106,Virtual Reality and Simulated Environments,1,7
1,106,Virtual Reality and Simulated Environments,1,4.5
1,106,Virtual Reality and Simulated Environments,1,6
1,106,Xenobiology and Extraterrestrial Life,1,12.75
1,106,Xenobiology and Extraterrestrial Life,1,11.75
1,106,Xenobiology and Extraterrestrial Life,1,16.25
1,106,Xenobiology and Extraterrestrial Life,1,10
1,106,Xenobiology and Extraterrestrial Life,1,11.75
1,135,Artificial Intelligence and Robotics,1,9.5
1,135,Artificial Intelligence and Robotics,1,11.5
1,135,Artificial Intelligence and Robotics,1,10
1,135,Artificial Intelligence and Robotics,1,13
1,135,Artificial Intelligence and Robotics,1,11
1,135,Artificial Intelligence and Robotics,1,11
1,135,Astroengineering and Planetary Colonization,1,13
1,135,Astroengineering and Planetary Colonization,1,13
1,135,Astroengineering and Planetary Colonization,1,6
1,135,Cybernetics and Human Augmentation,2,12.5
1,135,Cybernetics and Human Augmentation,2,13
1,135,Cybernetics and Human Augmentation,2,12
1,135,Cybernetics and Human Augmentation,2,14
1,135,Cybernetics and Human Augmentation,2,13
1,135,Cybernetics and Human Augmentation,2,9.25
1,135,Energy Harvesting and Sustainability,2,15.5
